2021-03-29 00:19:05.421 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2021-03-29 00:19:05.421 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-03-29 00:19:05.421 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.44]
2021-03-29 00:19:05.422 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.26] using APR version [1.7.0].
2021-03-29 00:19:05.422 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2021-03-29 00:19:05.422 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2021-03-29 00:19:05.422 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1i  8 Dec 2020]
2021-03-29 00:19:05.438 [restartedMain] INFO  o.a.c.c.ContainerBase.[Tomcat-1].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-03-29 00:19:05.438 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 219 ms
2021-03-29 00:19:05.519 [restartedMain] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2021-03-29 00:20:57.914 [restartedMain] INFO  com.practice.pairproject.PairprojectApplication - Starting PairprojectApplication using Java 12.0.1 on LAPTOP-F049C9RS with PID 2740 (D:\【Third _Grade_Next】\软工实践\结对\第二次\项目代码\PairProject\291800139&221801431\pairproject\target\classes started by Lenovo in D:\【Third _Grade_Next】\软工实践\结对\第二次\项目代码\PairProject\291800139&221801431\pairproject)
2021-03-29 00:20:57.931 [restartedMain] INFO  com.practice.pairproject.PairprojectApplication - The following profiles are active: test
2021-03-29 00:20:58.068 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-03-29 00:20:58.068 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-03-29 00:20:59.189 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-03-29 00:20:59.199 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2021-03-29 00:20:59.199 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-03-29 00:20:59.200 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.44]
2021-03-29 00:20:59.201 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.26] using APR version [1.7.0].
2021-03-29 00:20:59.202 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2021-03-29 00:20:59.202 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2021-03-29 00:20:59.205 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1i  8 Dec 2020]
2021-03-29 00:20:59.265 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-03-29 00:20:59.265 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1196 ms
2021-03-29 00:20:59.678 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-29 00:20:59.854 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-03-29 00:20:59.869 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2021-03-29 00:20:59.885 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-03-29 00:20:59.913 [restartedMain] INFO  com.practice.pairproject.PairprojectApplication - Started PairprojectApplication in 2.642 seconds (JVM running for 4.005)
2021-03-29 00:21:48.310 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-03-29 00:21:48.311 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-03-29 00:21:48.312 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2021-03-29 00:21:48.356 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-03-29 00:21:48.506 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-03-29 00:30:43.532 [restartedMain] INFO  com.practice.pairproject.PairprojectApplication - Starting PairprojectApplication using Java 12.0.1 on LAPTOP-F049C9RS with PID 28072 (D:\【Third _Grade_Next】\软工实践\结对\第二次\项目代码\PairProject\291800139&221801431\pairproject\target\classes started by Lenovo in D:\【Third _Grade_Next】\软工实践\结对\第二次\项目代码\PairProject\291800139&221801431\pairproject)
2021-03-29 00:30:43.535 [restartedMain] INFO  com.practice.pairproject.PairprojectApplication - The following profiles are active: test
2021-03-29 00:30:43.594 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-03-29 00:30:43.594 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-03-29 00:30:44.674 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-03-29 00:30:44.682 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2021-03-29 00:30:44.683 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-03-29 00:30:44.683 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.44]
2021-03-29 00:30:44.685 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.26] using APR version [1.7.0].
2021-03-29 00:30:44.686 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2021-03-29 00:30:44.686 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2021-03-29 00:30:44.690 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1i  8 Dec 2020]
2021-03-29 00:30:44.762 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-03-29 00:30:44.762 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1167 ms
2021-03-29 00:30:45.225 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-29 00:30:45.420 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-03-29 00:30:45.435 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2021-03-29 00:30:45.450 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-03-29 00:30:45.483 [restartedMain] INFO  com.practice.pairproject.PairprojectApplication - Started PairprojectApplication in 2.655 seconds (JVM running for 4.065)
2021-03-29 00:30:49.505 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-03-29 00:30:49.505 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-03-29 00:30:49.506 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2021-03-29 00:30:49.598 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-03-29 00:30:49.754 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-03-29 00:31:33.704 [restartedMain] INFO  com.practice.pairproject.PairprojectApplication - Starting PairprojectApplication using Java 12.0.1 on LAPTOP-F049C9RS with PID 5584 (D:\【Third _Grade_Next】\软工实践\结对\第二次\项目代码\PairProject\291800139&221801431\pairproject\target\classes started by Lenovo in D:\【Third _Grade_Next】\软工实践\结对\第二次\项目代码\PairProject\291800139&221801431\pairproject)
2021-03-29 00:31:33.708 [restartedMain] INFO  com.practice.pairproject.PairprojectApplication - The following profiles are active: test
2021-03-29 00:31:33.773 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-03-29 00:31:33.773 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-03-29 00:31:34.814 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-03-29 00:31:34.822 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2021-03-29 00:31:34.823 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-03-29 00:31:34.823 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.44]
2021-03-29 00:31:34.825 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.26] using APR version [1.7.0].
2021-03-29 00:31:34.826 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2021-03-29 00:31:34.826 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2021-03-29 00:31:34.830 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1i  8 Dec 2020]
2021-03-29 00:31:34.895 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-03-29 00:31:34.895 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1121 ms
2021-03-29 00:31:35.296 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-29 00:31:35.500 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-03-29 00:31:35.516 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2021-03-29 00:31:35.534 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-03-29 00:31:35.562 [restartedMain] INFO  com.practice.pairproject.PairprojectApplication - Started PairprojectApplication in 2.506 seconds (JVM running for 3.822)
2021-03-29 00:38:47.838 [restartedMain] INFO  com.practice.pairproject.PairprojectApplication - Starting PairprojectApplication using Java 12.0.1 on LAPTOP-F049C9RS with PID 8404 (D:\【Third _Grade_Next】\软工实践\结对\第二次\项目代码\PairProject\291800139&221801431\pairproject\target\classes started by Lenovo in D:\【Third _Grade_Next】\软工实践\结对\第二次\项目代码\PairProject\291800139&221801431\pairproject)
2021-03-29 00:38:47.842 [restartedMain] INFO  com.practice.pairproject.PairprojectApplication - The following profiles are active: test
2021-03-29 00:38:47.936 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-03-29 00:38:47.937 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-03-29 00:38:49.080 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-03-29 00:38:49.089 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2021-03-29 00:38:49.089 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-03-29 00:38:49.089 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.44]
2021-03-29 00:38:49.091 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.26] using APR version [1.7.0].
2021-03-29 00:38:49.091 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2021-03-29 00:38:49.092 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2021-03-29 00:38:49.095 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1i  8 Dec 2020]
2021-03-29 00:38:49.168 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-03-29 00:38:49.168 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1230 ms
2021-03-29 00:38:49.664 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-29 00:38:49.915 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-03-29 00:38:49.942 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2021-03-29 00:38:49.962 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-03-29 00:38:50.004 [restartedMain] INFO  com.practice.pairproject.PairprojectApplication - Started PairprojectApplication in 2.861 seconds (JVM running for 4.414)
2021-03-29 00:38:52.448 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-03-29 00:38:52.448 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-03-29 00:38:52.450 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2021-03-29 00:38:52.522 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-03-29 00:38:52.681 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-03-29 00:48:12.064 [restartedMain] INFO  com.practice.pairproject.PairprojectApplication - Starting PairprojectApplication using Java 12.0.1 on LAPTOP-F049C9RS with PID 20236 (D:\【Third _Grade_Next】\软工实践\结对\第二次\项目代码\PairProject\291800139&221801431\pairproject\target\classes started by Lenovo in D:\【Third _Grade_Next】\软工实践\结对\第二次\项目代码\PairProject\291800139&221801431\pairproject)
2021-03-29 00:48:12.067 [restartedMain] INFO  com.practice.pairproject.PairprojectApplication - The following profiles are active: test
2021-03-29 00:48:12.160 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-03-29 00:48:12.160 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-03-29 00:48:13.314 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-03-29 00:48:13.323 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2021-03-29 00:48:13.323 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-03-29 00:48:13.323 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.44]
2021-03-29 00:48:13.325 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.26] using APR version [1.7.0].
2021-03-29 00:48:13.325 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2021-03-29 00:48:13.326 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2021-03-29 00:48:13.343 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1i  8 Dec 2020]
2021-03-29 00:48:13.539 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-03-29 00:48:13.540 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1377 ms
2021-03-29 00:48:14.083 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-29 00:48:14.298 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-03-29 00:48:14.317 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2021-03-29 00:48:14.336 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-03-29 00:48:14.412 [restartedMain] INFO  com.practice.pairproject.PairprojectApplication - Started PairprojectApplication in 3.002 seconds (JVM running for 4.381)
2021-03-29 00:48:18.424 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-03-29 00:48:18.425 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-03-29 00:48:18.427 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2021-03-29 00:48:18.487 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-03-29 00:48:18.742 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-03-29 14:39:10.614 [restartedMain] INFO  com.practice.pairproject.PairprojectApplication - Starting PairprojectApplication using Java 12.0.1 on LAPTOP-F049C9RS with PID 19964 (D:\【Third _Grade_Next】\软工实践\结对\第二次\项目代码\PairProject\291800139&221801431\pairproject\target\classes started by Lenovo in D:\【Third _Grade_Next】\软工实践\结对\第二次\项目代码\PairProject\291800139&221801431\pairproject)
2021-03-29 14:39:10.673 [restartedMain] INFO  com.practice.pairproject.PairprojectApplication - The following profiles are active: test
2021-03-29 14:39:10.737 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-03-29 14:39:10.738 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-03-29 14:39:12.563 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-03-29 14:39:12.574 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2021-03-29 14:39:12.574 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-03-29 14:39:12.574 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.44]
2021-03-29 14:39:12.577 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.26] using APR version [1.7.0].
2021-03-29 14:39:12.578 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2021-03-29 14:39:12.578 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2021-03-29 14:39:12.782 [restartedMain] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1i  8 Dec 2020]
2021-03-29 14:39:12.978 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-03-29 14:39:12.978 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2239 ms
2021-03-29 14:39:13.649 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-29 14:39:13.850 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-03-29 14:39:13.868 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2021-03-29 14:39:13.885 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2021-03-29 14:39:13.921 [restartedMain] INFO  com.practice.pairproject.PairprojectApplication - Started PairprojectApplication in 4.642 seconds (JVM running for 6.253)
2021-03-29 14:52:03.400 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-03-29 14:52:03.401 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-03-29 14:52:03.403 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2021-03-29 14:52:03.450 [http-nio-8080-exec-2] INFO  c.p.pairproject.service.impl.KeywordServiceImpl - 【当前年份】：2021
2021-03-29 14:52:03.450 [http-nio-8080-exec-2] INFO  c.p.pairproject.service.impl.KeywordServiceImpl - 【> year】：2016
2021-03-29 14:52:03.513 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-03-29 14:52:03.770 [http-nio-8080-exec-2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-03-29 18:09:34.327 [http-nio-8080-exec-4] INFO  c.p.pairproject.service.impl.KeywordServiceImpl - 【当前年份】：2021
2021-03-29 18:09:34.327 [http-nio-8080-exec-4] INFO  c.p.pairproject.service.impl.KeywordServiceImpl - 【> year】：2011
2021-03-29 18:09:47.392 [http-nio-8080-exec-6] INFO  c.p.pairproject.service.impl.KeywordServiceImpl - 【当前年份】：2021
2021-03-29 18:09:47.392 [http-nio-8080-exec-6] INFO  c.p.pairproject.service.impl.KeywordServiceImpl - 【> year】：2016
